School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude,Total_Crimes,Total_Thefts,Total_Batteries,Total_Assaults,Total_Robberies,Total_Weapon_Violations,Total_Homicides,ACT_Score,College_Enrollment_Pct,Graduation_Pct,Level
610340,CHICAGO ACADEMY HS,3.0,41.943054,-87.776847,868.0,195.0,170.0,56.0,26.0,3.0,,18.5,80.4,87.1,4.0
609724,MATHER HS,2.0,41.987589,-87.702496,965.0,184.0,181.0,74.0,30.0,11.0,1.0,17.4,66.3,78.5,4.0
609733,SULLIVAN HS,2.0,42.002688,-87.66919200000002,1820.0,511.0,311.0,125.0,81.0,19.0,2.0,15.1,51.5,66.1,3.0
610581,MAGIC JOHNSON - BRAINERD HS,2.0,41.731492,-87.66314,1593.0,302.0,315.0,116.0,83.0,35.0,11.0,14.2,,,
400135,YCCS - LATINO YOUTH,2.0,41.854665,-87.69543,1903.0,387.0,420.0,150.0,108.0,41.0,8.0,13.9,6.9,,
609705,FENGER HS,3.0,41.689951,-87.63757199999998,1476.0,213.0,358.0,144.0,59.0,31.0,1.0,14.7,29.0,57.7,2.0
400161,CHICAGO COLLEGIATE,3.0,41.679318,-87.617968,1442.0,188.0,335.0,145.0,53.0,45.0,3.0,,,,2.0
400123,YCCS - SCHOLASTIC ACHIEVEMENT,2.0,41.880447,-87.74253900000002,4444.0,503.0,1002.0,301.0,239.0,147.0,23.0,13.3,8.9,,
609698,BOGAN HS,2.0,41.749376,-87.721097,730.0,131.0,91.0,47.0,54.0,5.0,,14.9,54.6,71.4,2.0
610380,WILLIAMS HS,2.0,41.806118,-87.62503000000002,2042.0,378.0,465.0,167.0,117.0,54.0,8.0,17.1,74.7,87.3,3.0
400066,PERSPECTIVES - MATH & SCI HS,1.0,41.827784,-87.624788,2158.0,558.0,455.0,186.0,131.0,31.0,4.0,17.3,62.3,75.7,3.0
609694,HANCOCK HS,2.0,41.79146400000001,-87.72447,988.0,192.0,129.0,51.0,65.0,15.0,1.0,16.9,58.3,86.2,5.0
610587,DYETT ARTS HS,,41.801204,-87.612239,2321.0,455.0,526.0,177.0,119.0,37.0,10.0,,,,4.0
400125,YCCS - ASPIRA PANTOJA,3.0,41.938187,-87.727137,1589.0,352.0,284.0,121.0,48.0,15.0,1.0,14.1,4.2,,
609739,WASHINGTON HS,2.0,41.688137,-87.53757,279.0,63.0,56.0,18.0,1.0,8.0,,17.7,54.9,81.4,4.0
400157,NOBLE - BAKER HS,,41.734622,-87.556201,1931.0,286.0,505.0,196.0,80.0,32.0,8.0,19.6,,,3.0
609750,SIMPSON HS,4.0,41.864365,-87.668722,1279.0,349.0,236.0,111.0,40.0,13.0,4.0,16.7,,,
610506,TEAM HS,1.0,41.781485,-87.63301899999998,1508.0,264.0,346.0,171.0,80.0,42.0,8.0,14.3,50.7,75.9,1.0
609682,RICHARDS HS,1.0,41.802881,-87.662278,2206.0,319.0,546.0,214.0,138.0,61.0,11.0,14.6,47.4,59.5,2.0
400032,CICS - ELLISON HS,2.0,41.748382,-87.66898,2434.0,371.0,579.0,226.0,128.0,64.0,10.0,16.3,64.3,77.8,2.0
400162,INTRINSIC HS,3.0,41.938988,-87.741129,1245.0,243.0,209.0,92.0,40.0,8.0,1.0,19.2,,,5.0
609753,CHICAGO AGRICULTURE HS,3.0,41.691221,-87.71777,154.0,49.0,22.0,13.0,2.0,1.0,,20.2,79.8,83.9,5.0
