,School ID,Year,Composite
234,609674,2002,14.5
235,609674,2003,14.8
236,609674,2004,15.0
237,609674,2005,15.2
238,609674,2006,14.7
239,609674,2007,14.6
240,609674,2008,14.9
241,609674,2009,14.1
242,609674,2010,15.0
243,609674,2011,14.3
244,609674,2012,14.7
245,609674,2013,14.7
246,609674,2014,14.5
247,609674,2015,14.8
248,609674,2016,15.6
249,400113,2014,
250,400113,2015,
251,400113,2016,16.5
252,400032,2009,18.3
253,400032,2010,16.8
254,400032,2011,16.2
255,400032,2012,16.2
256,400032,2013,16.5
257,400032,2014,16.6
258,400032,2015,15.6
259,400032,2016,16.3
260,400108,2011,15.3
261,400108,2012,14.5
262,400108,2013,14.0
263,400108,2014,14.5
264,400108,2015,16.3
265,400108,2016,14.3
266,400033,2001,14.7
267,400033,2002,15.3
268,400033,2003,16.5
269,400033,2004,16.1
270,400033,2005,17.4
271,400033,2006,17.1
272,400033,2007,17.0
273,400033,2008,17.3
274,400033,2009,17.9
275,400033,2010,16.6
276,400033,2011,16.5
277,400033,2012,15.9
278,400033,2013,16.0
279,400033,2014,16.1
280,400033,2015,15.3
281,400033,2016,15.4
282,400034,2004,18.3
283,400034,2005,19.3
284,400034,2006,18.9
285,400034,2007,19.9
286,400034,2008,19.0
287,400034,2009,19.1
288,400034,2010,19.1
289,400034,2011,19.0
290,400034,2012,19.6
291,400034,2013,19.1
292,400034,2014,19.8
293,400034,2015,19.6
294,400034,2016,19.4
295,610497,2015,
296,610244,2005,16.8
297,610244,2006,15.5
298,610244,2007,16.1
299,610244,2008,16.3
300,610244,2009,16.2
301,610244,2010,16.2
302,610244,2011,15.7
303,610244,2012,16.4
304,610244,2013,16.0
305,610244,2014,16.5
306,610244,2015,15.9
307,610244,2016,16.3
308,609759,2001,13.9
309,609759,2002,14.3
310,609759,2003,14.3
311,609759,2004,14.8
312,609759,2005,15.1
313,609759,2006,15.2
314,609759,2007,15.6
315,609759,2008,15.3
316,609759,2009,14.6
317,609759,2010,15.3
318,609759,2011,15.4
319,609759,2012,15.0
320,609759,2013,15.0
321,609759,2014,15.0
322,609759,2015,16.0
323,609759,2016,15.4
324,610499,2010,15.2
325,610499,2011,15.6
326,610499,2012,15.5
327,610499,2013,14.1
328,610499,2014,14.3
329,610499,2015,15.1
330,610499,2016,14.7
331,400038,2009,13.7
332,400038,2010,12.9
333,400038,2011,13.8
334,400038,2012,12.5
335,400038,2013,13.1
336,400038,2014,13.7
337,400038,2015,12.8
338,400038,2016,
339,609761,2001,14.4
340,609761,2002,14.0
341,609761,2003,14.0
342,609761,2004,14.5
343,609761,2005,14.4
344,609761,2006,14.5
345,609761,2007,15.2
346,609761,2008,15.2
347,609761,2009,14.5
348,609761,2010,14.7
349,609761,2011,14.3
350,609761,2012,14.7
351,609761,2013,13.9
352,609761,2014,14.8
353,609761,2015,13.9
354,609761,2016,14.3
355,609702,2001,13.7
356,609702,2002,13.8
357,609702,2003,14.4
358,609702,2004,14.9
359,609702,2005,14.6
360,609702,2006,14.6
361,609702,2007,14.2
362,609702,2008,14.4
363,609702,2009,14.6
364,609702,2010,14.0
365,609702,2011,14.0
366,609702,2012,13.8
367,609702,2013,13.2
368,609702,2014,14.4
369,609702,2015,
370,610561,2016,18.7
371,609756,2001,15.8
372,609756,2002,16.0
373,609756,2003,16.5
374,609756,2004,16.8
375,609756,2005,17.1
376,609756,2006,17.1
377,609756,2007,17.8
378,609756,2008,17.8
379,609756,2009,17.4
380,609756,2010,17.3
381,609756,2011,16.9
382,609756,2012,17.3
383,609756,2013,17.3
384,609756,2014,17.7
385,609756,2015,17.3
386,609756,2016,17.4
387,610402,2006,19.4
388,610402,2007,19.4
389,610402,2008,19.6
390,610402,2009,19.8
391,610402,2010,19.3
392,610402,2011,20.7
393,610402,2012,21.0
394,610402,2013,22.0
395,610402,2014,21.0
396,610402,2015,20.7
397,610402,2016,21.1
398,610564,2016,19.2
399,610245,2006,13.4
400,610245,2007,14.4
401,610245,2008,14.4
402,610245,2009,14.3
403,610245,2010,14.5
404,610245,2011,14.9
405,610245,2012,14.7
406,610245,2013,14.2
407,610245,2014,15.2
408,610245,2015,14.0
409,610245,2016,13.6
410,609676,2001,14.5
411,609676,2002,14.8
412,609676,2003,14.8
413,609676,2004,15.2
414,609676,2005,15.3
415,609676,2006,15.1
416,609676,2007,15.1
417,609676,2008,15.1
418,609676,2009,14.5
419,609676,2010,14.9
420,609676,2011,14.7
421,609676,2012,14.8
422,609676,2013,14.6
423,609676,2014,14.7
424,609676,2015,14.6
425,609676,2016,14.4
