'Name','Address','Zipcode','Science','Math','English','College','Progress'
'Deming School','375 North Main St, Mount Olivet, KY 41064','41064','','52%','','3',''
'Cordia School','6050 Lotts Creek Rd, Hazard, KY 41701','41701','','28%','','2',''
'Maurepas School','25125 Hwy 22, Maurepas, LA 70449','70449','13%','17%','46%','9','4'
'Ebarb School','5340 Hwy. 482, Noble, LA 71462','71462','14%','23%','39%','7','5'
'Atlanta School','118 School Road, Atlanta, LA 71404','71404','15%','21%','34%','8','5'
'Enterprise School','1601 Hwy 583 SE, Brookhaven, MS 39601','39601','','18%','33%','',''
'Ocracoke School','120 Schoolhouse Rd, Ocracoke, NC 27960','27960','','65%','','9',''
'Metro School','405 South Davidson St, Charlotte, NC 28202','28202','','27%','','',''
'Continuation School','2611 Eubank Ne, Albuquerque, NM 87112','87112','','','','',''
'Austin School','200 Hwy 305 North, Austin, NV 89310','89310','','','','',''
'Andover School','31 Elm Street, Andover, NY 14806','14806','','30%','24%','4',''
'Belfast School','1 King Street, Belfast, NY 14711','14711','','25%','88%','3',''
'Canaseraga School','8 Main Street, Canaseraga, NY 14822','14822','','37%','29%','4',''
'Graham School','421 East 5th Street, Mount Vernon, NY 10553','10553','','7%','14%','',''
'Wells School','1571 New York 30, Wells, NY 12190','12190','','46%','77%','9',''
'Worcester School','198 Main Street, Worcester, NY 12197','12197','','27%','25%','4',''
'Huntland School','400 Gore Street, Huntland, TN 37345','37345','58%','51%','75%','9',''
'Washburn School','7925 Highway 131, Washburn, TN 37888','37888','55%','35%','56%','5',''
'Greenback School','400 Chilhowee Avenue, Greenback, TN 37742','37742','69%','52%','64%','6',''
'Coalfield School','1720 Coal Hill Road, Harriman, TN 37748','37748','64%','38%','54%','8',''
'Oakdale School','225 Clifty Creek Road, Oakdale, TN 37829','37829','42%','22%','62%','2',''
'Sunbright School','205 Burrville Road, Sunbright, TN 37872','37872','52%','33%','65%','4',''
'Eagleville School','500 Highway 99, Eagleville, TN 37060','37060','81%','75%','87%','9',''
'Clarksburg School','145 Clarksburg Road, Huntingdon, TN 38344','38344','78%','58%','71%','8',''
'Gleason School','92-99 State Championship Dr, Gleason, TN 38229','38229','59%','47%','84%','8',''
'Greenfield School','319 West Main Street, Greenfield, TN 38230','38230','79%','65%','85%','5',''
'Spur School','P O Box 550, Spur, TX 79370','79370','62%','71%','86%','3',''
'Balmorhea School','P O Box 368, Balmorhea, TX 79718','79718','57%','47%','83%','9',''
'Bellevue School','P O Box 38, Bellevue, TX 76228','76228','64%','29%','58%','7',''
'Benjamin School','P O Box 166, Benjamin, TX 79505','79505','','75%','','9',''
'Blanket School','901 Avenue H, Blanket, TX 76432','76432','75%','66%','76%','8',''
'Brookesmith School','P O Box 706, Brookesmith, TX 76827','76827','67%','96%','82%','9',''
'Bryson School','300 N Mccloud, Bryson, TX 76427','76427','62%','76%','63%','6',''
'Buckholts School','P O Box 248, Buckholts, TX 76518','76518','46%','39%','46%','10',''
'Bynum School','P O Box 68, Bynum, TX 76631','76631','60%','63%','68%','9',''
'Calvert School','P O Box 7, Calvert, TX 77837','77837','15%','44%','44%','2',''
'Carlisle School','P O Box 187, Price, TX 75687','75687','63%','71%','48%','8',''
'Channing School','P O Box A, Channing, TX 79018','79018','45%','77%','77%','5',''
'Chilton School','P O Box 488, Chilton, TX 76632','76632','54%','66%','42%','2',''
'Covington School','501 Main Street, Sugar Land, TX 77498','77498','65%','76%','82%','2',''
'Dawson School','P O Box 180, Welch, TX 79377','79377','70%','68%','80%','3',''
'Douglass School','P O Box 38, Douglass, TX 75943','75943','73%','80%','82%','7',''
'Era School','P O Box 98, Era, TX 76238','76238','91%','71%','86%','9',''
'Follett School','P O Drawer 28, Follett, TX 79034','79034','89%','80%','75%','8',''
'Forestburg School','P O Box 415, Forestburg, TX 76239','76239','62%','58%','59%','10',''
'Gary School','132 Bobcat Trail, Gary, TX 75643','75643','86%','81%','67%','3',''
'Gholson School','137 Hamilton Drive, Waco, TX 76705','76705','72%','72%','68%','3',''
'Gordon School','Box 47 112-116 Rusk Street, Gordon, TX 76453','76453','56%','65%','74%','5',''
'Grady School','3500 Farm to Market Road 829, Lenorah, TX 79749','79749','97%','90%','83%','8',''
'Granger School','P O Box 578, Granger, TX 76530','76530','70%','73%','61%','7',''
'Groom School','P O Box 598, Groom, TX 79039','79039','97%','69%','77%','6',''
'Gustine School','503 West Main Street, Gustine, TX 76455','76455','66%','58%','','5',''
'Guthrie School','P O Box 70, Guthrie, TX 79236','79236','','96%','','3',''
'Hartley School','P O Box 408, Hartley, TX 79044','79044','48%','88%','83%','10',''
'Hedley School','P O Box 69, Hedley, TX 79237','79237','','72%','82%','9',''
'Hermleigh School','8010 U.S. 84 Business, Hermleigh, TX 79526','79526','82%','51%','59%','6',''
'Higgins School','P O Box 218, Higgins, TX 79046','79046','61%','59%','','9',''
'Highland School','6625 Farm to Market Road 608, Roscoe, TX 79545','79545','86%','100%','84%','10',''
'Huckabay School','200 County Road 421, Stephenville, TX 76401','76401','90%','88%','83%','7',''
'Iredell School','P O Box 39, Iredell, TX 76649','76649','57%','86%','90%','7',''
'Jonesboro School','P O Box 125, Jonesboro, TX 76538','76538','86%','66%','79%','9',''
'Kelton School','16703 Farm to Market Road 2697, Wheeler, TX 79096','79096','','','','9',''
'Kerens School','200 Bobcat Lane, Kerens, TX 75144','75144','58%','69%','51%','6',''
'Metroplex School','4800 East Rancier Avenue, Killeen, TX 76543','76543','','','','',''
'Knippa School','P O Box 99, Knippa, TX 78870','78870','93%','96%','92%','9',''
'Kopperl School','P O Box 67, Kopperl, TX 76652','76652','61%','65%','59%','3',''
'Laneville School','7415 Farm to Market Road 1798, Laneville, TX 75667','75667','46%','43%','30%','9',''
'Lazbuddie School','P O Box 9, Lazbuddie, TX 79053','79053','56%','75%','46%','6',''
'Leakey School','P O Box 1129, Leakey, TX 78873','78873','78%','64%','72%','9',''
'Lefors School','P O Box 390, Lefors, TX 79054','79054','67%','60%','62%','9',''
'Lingleville School','P O Box 134, Lingleville, TX 76461','76461','76%','73%','76%','6',''
'Lohn School','P O Box 277, Lohn, TX 76852','76852','17%','32%','43%','2',''
'Lometa School','P O Box 250, Lometa, TX 76853','76853','74%','61%','53%','1',''
'Loop School','P O Box 917, Loop, TX 79342','79342','73%','73%','','6',''
'Loraine School','P O Box 457, Loraine, TX 79532','79532','62%','60%','50%','7',''
'Martinsville School','P O Box 100, Martinsville, TX 75958','75958','84%','86%','52%','7',''
'Maud School','P O Box 1028, Maud, TX 75567','75567','73%','66%','64%','8',''
'Mclean School','P O Box 90, McLean, TX 79057','79057','82%','80%','100%','8',''
'Meadow School','604 4th Street, Meadow, TX 79345','79345','68%','67%','57%','6',''
'Miami School','P O Box 368, Miami, TX 79059','79059','100%','83%','90%','9',''
'Milford School','P O Box 545, Milford, TX 76670','76670','66%','73%','80%','1',''
'Moran School','P O Box 98, Moran, TX 76464','76464','','48%','','9',''
'Morgan School','P O Box 300, Morgan, TX 76671','76671','55%','42%','42%','1',''
'Nazareth School','P O Box 189, Nazareth, TX 79063','79063','96%','93%','91%','10',''
'Nordheim School','500 Broadway, Nordheim, TX 78141','78141','','61%','27%','2',''
'Oglesby School','P O Box 158, Oglesby, TX 76561','76561','63%','49%','76%','8',''
'Paducah School','Drawer P, Paducah, TX 79248','79248','67%','52%','60%','1',''
'Penelope School','P O Box 68, Penelope, TX 76676','76676','65%','79%','63%','3',''
'Petersburg School','P O Box 160, Petersburg, TX 79250','79250','56%','69%','41%','6',''
'Priddy School','P O Box 40, Priddy, TX 76870','76870','60%','65%','','2',''
'Rankin School','P O Box 90, Rankin, TX 79778','79778','83%','79%','68%','5',''
'Rochelle School','P O Box 167, Rochelle, TX 76872','76872','56%','77%','50%','9',''
'Ropes School','304 Ranch Street, Ropesville, TX 79358','79358','64%','71%','60%','8',''
'Rule School','1100 Union Avenue, Rule, TX 79547','79547','54%','62%','60%','9',''
'Saltillo School','P O Box 269, Saltillo, TX 75478','75478','87%','88%','87%','7',''
'Shelbyville School','P O Box 325, Shelbyville, TX 75973','75973','88%','87%','72%','5',''
'Sidney School','P O Box 190, Sidney, TX 76474','76474','','27%','','9',''
'Silverton School','P O Box 608, Silverton, TX 79257','79257','','75%','94%','8',''
'Strawn School','P O Box 428, Strawn, TX 76475','76475','50%','47%','83%','4',''
'Texline School','P O Box 60, Texline, TX 79087','79087','33%','65%','','5',''
'Throckmorton School','210 College Street, Throckmorton, TX 76483','76483','54%','57%','77%','8',''
'Tioga School','P O Box 159, Tioga, TX 76271','76271','93%','88%','86%','',''
'Utopia School','P O Box 880, Utopia, TX 78884','78884','61%','81%','59%','5',''
'Valentine School','P O Box 188, Valentine, TX 79854','79854','','','','9',''
'Waelder School','P O Box 247, Waelder, TX 78959','78959','49%','43%','38%','1',''
'Westbrook School','P O Box 99, Westbrook, TX 79565','79565','67%','61%','77%','6',''
'Wheeler School','P O Box 1010, Wheeler, TX 79096','79096','65%','88%','71%','5',''
'Whitharral School','P O Box 225, Whitharral, TX 79380','79380','85%','90%','','9',''
'Wilson School','P O Box 9, Wilson, TX 79381','79381','','','12%','9',''
'Woodson School','P O Box 287, Woodson, TX 76491','76491','90%','72%','40%','9',''
'Zephyr School','11625 County Road 281, Zephyr, TX 76890','76890','82%','87%','80%','7',''
'Trinidad School','105 East Eaton Street, Trinidad, TX 75163','75163','54%','57%','','4',''
'Newcastle School','P O Box 129, Gordonville, TX 76245','76245','82%','83%','75%','8',''
'Abbott School','P O Box 226, Abbott, TX 76621','76621','72%','95%','84%','9',''
'Adrian School','P O Box 189, Adrian, TX 79001','79001','46%','57%','43%','6',''
'Lane School','2001 Aldine Bender Road, Houston, TX 77032','77032','','','','1',''
'Amherst School','P O Box 248, Amherst, TX 79312','79312','','50%','64%','5',''
'Anton School','P O Box 309, Anton, TX 79313','79313','73%','62%','42%','6',''
'Aquilla School','404 Richards, Aquilla, TX 76622','76622','73%','81%','88%','2',''
'Avalon School','P O Box 455, Avalon, TX 76623','76623','78%','82%','56%','7',''
'Avinger School','245 Connor St, Avinger, TX 75630','75630','57%','63%','','3',''
'Akutan School','202 Volcano Dr, Akutan, AK 99553','99553','','','','',''
'Tebughna School','46400 D St, Tyonek, AK 99682','99682','','0%','5%','',''
'Nanwalek School','63550 Alexandrovsky St, Nanwalek, AK 99603','99603','12%','6%','9%','',''
'Ninilchik School','15735 Sterling Hwy, Ninilchik, AK 99639','99639','82%','39%','47%','',''
'Voznesenka School','32908 Voznesenka Rd, Voznesenka, AK 99603','99603','62%','32%','32%','',''
'Egegik School','School Rd, Egegik, AK 99579','99579','','','','',''
'Igiugig School','School Rd, Igiugig, AK 99613','99613','','9%','46%','',''
'Kokhanok School','School Rd, Kokhanok, AK 99606','99606','','63%','','',''
'Newhalen School','School Rd, Iliamna, AK 99606','99606','43%','7%','22%','',''
'Nondalton School','100 School Rd, Nondalton, AK 99640','99640','','12%','6%','',''
'Perryville School','School Rd, Perryville, AK 99648','99648','','6%','6%','',''
'Tanalian School','School Rd, Port Alsworth, AK 99653','99653','92%','56%','59%','',''
'Meshik School','School Rd, Port Heiden, AK 99549','99549','','','','',''
'Levelock School','School Rd, Levelock, AK 99625','99625','','14%','7%','',''
'Nunamiut School','114 Illinois St, Anaktuvuk Pass, AK 99721','99721','6%','4%','6%','',''
'Tikigaq School','1837 Tikigaq Ave, Point Hope, AK 99766','99766','12%','2%','1%','',''
'Kali School','1029 Qasigialik St, Point Lay, AK 99759','99759','','6%','10%','',''
'Alak School','576 Main St, Wainwright, AK 99782','99782','0%','9%','2%','',''
'Ambler School','109 Ambler Dr, Ambler, AK 99786','99786','14%','2%','0%','',''
'Buckland School','9900 University Dr, Buckland, AK 99727','99727','23%','7%','1%','',''
'Deering School','36 Main St, Deering, AK 99736','99736','','15%','8%','',''
'Kiana School','190 Casanoff St, Kiana, AK 99749','99749','13%','0%','5%','',''
'Kobuk School','101 Mushers Way, Kobuk, AK 99751','99751','','4%','0%','',''
'Mcqueen School','6 Oceanside Expressway, Kivalina, AK 99750','99750','4%','0%','0%','',''
'Napaaqtugmiut School','2 Airport Rd, Noatak, AK 99761','99761','20%','5%','4%','',''
'Shungnak School','6 West River Rd, Shungnak, AK 99773','99773','0%','0%','2%','',''
'Karluk School','Main St, Karluk, AK 99608','99608','','','','',''
'Marlton School','4000 Santo Tomas Drive, Los Angeles, CA 90008','90008','','11%','6%','3','3'
'Forest School','158 Clover Street, Forest, LA 71242','71242','24%','19%','37%','6','5'
'Daretown School','404 Daretown Rd, Elmer, NJ 08318','08318','','','','',''
'Bridgehampton School','2685 Montauk Highway, East Hampton, NY 11937','11937','','21%','46%','6',''
'Heatly School','171 Hudson Avenue, Green Island, NY 12183','12183','','11%','10%','2',''
'Blackwell School','P O Box 505, Blackwell, TX 79506','79506','86%','85%','80%','8',''
'Valley School','11826 Hwy 86, Turkey, TX 79261','79261','67%','82%','85%','8',''
'Midwest School','256 Lewis, Midwest, WY 82643','82643','27%','42%','','',''
'Gateway School','One School Road, Gateway, CO 81522','81522','','','','',''
'Vinalhaven School','22 Arcola Ln, Vinalhaven, ME 04863','04863','46%','14%','42%','9',''
'Blythedale School','95 Bradhurst Avenue, Valhalla, NY 10595','10595','','0%','0%','',''
'Prospect School','15002 North 32nd St, Phoenix, AZ 85032','85032','','','','',''
'Roadrunner School','3540 East Cholla, Phoenix, AZ 85028','85028','35%','9%','9%','',''
'Village School','31 Temple St, North Haven, CT 06473','06473','','','','',''
'Baker School','1369 14th Street, Baker, FL 32531','32531','','64%','58%','7',''
'Paxton School','21893 U.S. 331, Laurel Hill, FL 32567','32567','','55%','53%','7',''
'Hope School','2031 Hope School Drive, Marianna, FL 32448','32448','','','','',''
'Seagull School','425 Southwest 28th Street, Fort Lauderdale, FL 33315','33315','','','','',''
'Wabasso School','8895 Route 1, Sebastian, FL 32958','32958','','','','',''
'Crest School','2600 South Panther Pride Drive, Lecanto, FL 34461','34461','','','','1',''
'Challenger School','5150 Southeast Willoughby Boulevard, Stuart, FL 34997','34997','','','31%','',''
'Richbourg School','500 Alabama Street, Crestview, FL 32536','32536','','','','',''
'Anuenue School','2528 10th Ave, Honolulu, HI 96816','96816','','6%','12%','',''
'Bliss School','601 East Hwy 30, Bliss, ID 83314','83314','','31%','','',''
'Castleford School','500 Main St, Castleford, ID 83321','83321','52%','29%','39%','',''
'Culdesac School','600 Culdesac Ave, Culdesac, ID 83524','83524','','','25%','',''
'Dietrich School','406 North Park, Dietrich, ID 83324','83324','60%','58%','62%','',''
'Richfield School','555 North Tiger Dr, Richfield, ID 83349','83349','60%','33%','46%','',''
'Leadore School','111 South 3rd St, Leadore, ID 83464','83464','','32%','','',''
'Valley School','882 Valley Rd South, Hazelton, ID 83335','83335','39%','26%','30%','',''
'Hagerman School','150 Lake St West, Hagerman, ID 83332','83332','51%','25%','45%','',''
'Genesee School','330 West Ash St, Genesee, ID 83832','83832','73%','55%','71%','',''
'Highland School','112 Blvd, Craigmont, ID 83523','83523','','','40%','',''
'Nezperce School','615 2nd Ave, Nezperce, ID 83543','83543','','44%','55%','',''
'Midvale School','56 North School Road, Midvale, ID 83645','83645','','36%','','',''
'Murtaugh School','500 W Boyd St, Murtaugh, ID 83344','83344','','47%','57%','',''
'Kirk School','520 South Plum Grove Rd, Palatine, IL 60067','60067','','','','',''
'Laremont School','17934 West Gages Lake Rd, Gages Lake, IL 60030','60030','','','','',''
'Pathways School','2401 Pathways Xing, Belleville, IL 62221','62221','','','','',''
'Park School','828 Main St, Evanston, IL 60202','60202','','','','',''
'Echo School','350 West 154th St, South Holland, IL 60473','60473','','','','',''
'Sanders School','4730 Gadsden Street, Indianapolis, IN 46241','46241','33%','11%','6%','',''
'Tower School','901 East 14th St, Wayne, NE 68787','68787','','','','',''
'Meridian School','4215 Ave I, Scottsbluff, NE 69361','69361','','','','',''
'Riverview School',', Saratoga Springs, UT 84045','84045','56%','57%','55%','',''
'Horizon School',', Saratoga Springs, UT 84045','84045','','','','',''
'Murray School Murray Jr/Sr High','216 Sherman, Murray, IA 50174','50174','79%','88%','','',''
'Cross Cnty High A New Tech School',', Cherry Valley, AR 72324','72324','26%','','35%','3',''
