School_ID,Short_Name,Safety_Level,School_Latitude,School_Longitude
400142,YCCS - VIRTUAL,,41.876317,-87.674138
609744,NORTHSIDE LEARNING HS,5.0,41.982973,-87.722386
400131,YCCS - CAMPOS,2.0,41.90285,-87.69600600000001
610569,OMBUDSMAN - NORTHWEST HS,3.0,42.017171000000005,-87.806682
400091,CHICAGO TECH HS,2.0,41.863301,-87.659095
610518,AUSTIN CCA HS,1.0,41.885993,-87.761916
610568,PATHWAYS - AVONDALE HS,4.0,41.939433,-87.705206
400054,NOBLE - PRITZKER HS,2.0,41.915214,-87.730127
609740,WELLS HS,2.0,41.898995,-87.66748299999999
400118,NOBLE - DRW HS,2.0,41.869328,-87.71165400000001
609729,SCHURZ HS,2.0,41.946365,-87.735612
609737,VON STEUBEN HS,3.0,41.973185,-87.713386
400062,PERSPECTIVES - TECH HS,1.0,41.745948999999996,-87.650657
400128,YCCS - CCA ACADEMY,2.0,41.864943,-87.723662
400104,INSTITUTO - HEALTH,2.0,41.845967,-87.68724
610571,OMBUDSMAN - WEST HS,2.0,41.874673,-87.687842
400136,YCCS - OLIVE HARVEY,2.0,41.712922,-87.592333
610334,RABY HS,2.0,41.88621,-87.715423
610304,PHOENIX MILITARY HS,2.0,41.879118,-87.68696
609708,FOREMAN HS,2.0,41.939797,-87.75416700000001
609709,GAGE PARK HS,1.0,41.791013,-87.68895400000001
610392,WORLD LANGUAGE HS,2.0,41.834396999999996,-87.735292
609716,KELVYN PARK HS,2.0,41.927918,-87.73599899999999
610563,BACK OF THE YARDS HS,3.0,41.808413,-87.677541
400144,YCCS - WESTSIDE HOLISTIC,,41.90224,-87.74880999999999
610244,CLARK HS,2.0,41.872885,-87.753325
609734,TAFT HS,2.0,41.982960999999996,-87.791547
610499,COLLINS HS,1.0,41.864149,-87.702042
609679,PROSSER HS,2.0,41.920059,-87.761048
400175,CAMELOT - EXCEL SOUTHSHORE HS,,41.759749,-87.556487
400052,NOBLE - COMER,,41.764083,-87.601974
609759,CLEMENTE HS,2.0,41.902626,-87.68690600000001
400013,ASPIRA - EARLY COLLEGE HS,2.0,41.937298,-87.727096
